source,drill_id,raw_path,output_path,image_width,foreground_left,crop_start_green,head_end_blue,crop_end_exclusive,available_len,left_pad,output_shape
data,0090,datasets\original\data\normal\drill-0090-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0090-0.2410_37_37_296-4.raw,296,27,236,259,260,24,0,"24,37,37"
data,0091,datasets\original\data\normal\drill-0091-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0091-0.2410_37_37_296-4.raw,296,27,237,260,261,24,0,"24,37,37"
data,0094,datasets\original\data\normal\drill-0094-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0094-0.2410_37_37_296-4.raw,296,27,238,261,262,24,0,"24,37,37"
data,0095,datasets\original\data\normal\drill-0095-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0095-0.2410_37_37_296-4.raw,296,27,238,261,262,24,0,"24,37,37"
data,0096,datasets\original\data\normal\drill-0096-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0096-0.2410_37_37_296-4.raw,296,27,235,258,259,24,0,"24,37,37"
data,0097,datasets\original\data\normal\drill-0097-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0097-0.2410_37_37_296-4.raw,296,27,236,259,260,24,0,"24,37,37"
data,0098,datasets\original\data\normal\drill-0098-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0098-0.2410_37_37_296-4.raw,296,27,238,261,262,24,0,"24,37,37"
data,0099,datasets\original\data\normal\drill-0099-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0099-0.2410_37_37_296-4.raw,296,27,240,263,264,24,0,"24,37,37"
data,0100,datasets\original\data\normal\drill-0100-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0100-0.2410_37_37_296-4.raw,296,27,237,260,261,24,0,"24,37,37"
data,0101,datasets\original\data\normal\drill-0101-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0101-0.2410_37_37_296-4.raw,296,27,238,261,262,24,0,"24,37,37"
data,0102,datasets\original\data\normal\drill-0102-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0102-0.2410_37_37_296-4.raw,296,27,238,261,262,24,0,"24,37,37"
data,0103,datasets\original\data\normal\drill-0103-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0103-0.2410_37_37_296-4.raw,296,27,235,258,259,24,0,"24,37,37"
data,0104,datasets\original\data\normal\drill-0104-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0104-0.2410_37_37_296-4.raw,296,27,236,259,260,24,0,"24,37,37"
data,0105,datasets\original\data\normal\drill-0105-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0105-0.2410_37_37_296-4.raw,296,27,236,259,260,24,0,"24,37,37"
data,0106,datasets\original\data\normal\drill-0106-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0106-0.2410_37_37_296-4.raw,296,27,237,260,261,24,0,"24,37,37"
data,0107,datasets\original\data\normal\drill-0107-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0107-0.2410_37_37_296-4.raw,296,27,241,264,265,24,0,"24,37,37"
data,0108,datasets\original\data\normal\drill-0108-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0108-0.2410_37_37_296-4.raw,296,27,236,259,260,24,0,"24,37,37"
data,0109,datasets\original\data\normal\drill-0109-0.2410_37_37_296-4.raw,datasets\head_24\data\normal\drill-0109-0.2410_37_37_296-4.raw,296,27,236,259,260,24,0,"24,37,37"
data,0111,datasets\original\data\normal\drill-0111-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0111-0.2410_37_37_296-1.raw,296,27,236,259,260,24,0,"24,37,37"
data,0112,datasets\original\data\normal\drill-0112-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0112-0.2410_37_37_296-1.raw,296,27,238,261,262,24,0,"24,37,37"
data,0114,datasets\original\data\normal\drill-0114-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0114-0.2410_37_37_296-1.raw,296,27,237,260,261,24,0,"24,37,37"
data,0115,datasets\original\data\normal\drill-0115-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0115-0.2410_37_37_296-1.raw,296,27,239,262,263,24,0,"24,37,37"
data,0116,datasets\original\data\normal\drill-0116-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0116-0.2410_37_37_296-1.raw,296,27,240,263,264,24,0,"24,37,37"
data,0117,datasets\original\data\normal\drill-0117-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0117-0.2410_37_37_296-1.raw,296,27,237,260,261,24,0,"24,37,37"
data,0118,datasets\original\data\normal\drill-0118-0.2410_37_37_296-1.raw,datasets\head_24\data\normal\drill-0118-0.2410_37_37_296-1.raw,296,27,238,261,262,24,0,"24,37,37"
data,0119,datasets\original\data\normal\drill-0119-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0119-0.2410_37_37_296-2.raw,296,26,234,257,258,24,0,"24,37,37"
data,0120,datasets\original\data\normal\drill-0120-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0120-0.2410_37_37_296-2.raw,296,26,235,258,259,24,0,"24,37,37"
data,0121,datasets\original\data\normal\drill-0121-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0121-0.2410_37_37_296-2.raw,296,26,234,257,258,24,0,"24,37,37"
data,0122,datasets\original\data\normal\drill-0122-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0122-0.2410_37_37_296-2.raw,296,26,236,259,260,24,0,"24,37,37"
data,0123,datasets\original\data\normal\drill-0123-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0123-0.2410_37_37_296-2.raw,296,26,234,257,258,24,0,"24,37,37"
data,0124,datasets\original\data\normal\drill-0124-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0124-0.2410_37_37_296-2.raw,296,26,234,257,258,24,0,"24,37,37"
data,0125,datasets\original\data\normal\drill-0125-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0125-0.2410_37_37_296-2.raw,296,26,234,257,258,24,0,"24,37,37"
data,0126,datasets\original\data\normal\drill-0126-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0126-0.2410_37_37_296-2.raw,296,26,235,258,259,24,0,"24,37,37"
data,0127,datasets\original\data\normal\drill-0127-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0127-0.2410_37_37_296-2.raw,296,26,235,258,259,24,0,"24,37,37"
data,0128,datasets\original\data\normal\drill-0128-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0128-0.2410_37_37_296-2.raw,296,26,236,259,260,24,0,"24,37,37"
data,0129,datasets\original\data\normal\drill-0129-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0129-0.2410_37_37_296-2.raw,296,26,245,268,269,24,0,"24,37,37"
data,0130,datasets\original\data\normal\drill-0130-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0130-0.2410_37_37_296-2.raw,296,26,236,259,260,24,0,"24,37,37"
data,0131,datasets\original\data\normal\drill-0131-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0131-0.2410_37_37_296-2.raw,296,26,236,259,260,24,0,"24,37,37"
data,0132,datasets\original\data\normal\drill-0132-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0132-0.2410_37_37_296-2.raw,296,26,235,258,259,24,0,"24,37,37"
data,0133,datasets\original\data\normal\drill-0133-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0133-0.2410_37_37_296-2.raw,296,26,235,258,259,24,0,"24,37,37"
data,0134,datasets\original\data\normal\drill-0134-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0134-0.2410_37_37_296-2.raw,296,26,238,261,262,24,0,"24,37,37"
data,0135,datasets\original\data\normal\drill-0135-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0135-0.2410_37_37_296-2.raw,296,26,236,259,260,24,0,"24,37,37"
data,0136,datasets\original\data\normal\drill-0136-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0136-0.2410_37_37_296-2.raw,296,26,238,261,262,24,0,"24,37,37"
data,0137,datasets\original\data\normal\drill-0137-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0137-0.2410_37_37_296-2.raw,296,26,238,261,262,24,0,"24,37,37"
data,0138,datasets\original\data\normal\drill-0138-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0138-0.2410_37_37_296-2.raw,296,26,240,263,264,24,0,"24,37,37"
data,0139,datasets\original\data\normal\drill-0139-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0139-0.2410_37_37_296-2.raw,296,26,236,259,260,24,0,"24,37,37"
data,0140,datasets\original\data\normal\drill-0140-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0140-0.2410_37_37_296-2.raw,296,26,237,260,261,24,0,"24,37,37"
data,0141,datasets\original\data\normal\drill-0141-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0141-0.2410_37_37_296-2.raw,296,26,236,259,260,24,0,"24,37,37"
data,0142,datasets\original\data\normal\drill-0142-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0142-0.2410_37_37_296-2.raw,296,26,237,260,261,24,0,"24,37,37"
data,0143,datasets\original\data\normal\drill-0143-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0143-0.2410_37_37_296-2.raw,296,26,239,262,263,24,0,"24,37,37"
data,0145,datasets\original\data\normal\drill-0145-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0145-0.2410_37_37_296-2.raw,296,26,236,259,260,24,0,"24,37,37"
data,0146,datasets\original\data\normal\drill-0146-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0146-0.2410_37_37_296-2.raw,296,26,238,261,262,24,0,"24,37,37"
data,0147,datasets\original\data\normal\drill-0147-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0147-0.2410_37_37_296-2.raw,296,26,238,261,262,24,0,"24,37,37"
data,0148,datasets\original\data\normal\drill-0148-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0148-0.2410_37_37_296-2.raw,296,26,237,260,261,24,0,"24,37,37"
data,0149,datasets\original\data\normal\drill-0149-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0149-0.2410_37_37_296-2.raw,296,26,236,259,260,24,0,"24,37,37"
data,0150,datasets\original\data\normal\drill-0150-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0150-0.2410_37_37_296-2.raw,296,26,237,260,261,24,0,"24,37,37"
data,0152,datasets\original\data\normal\drill-0152-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0152-0.2410_37_37_296-2.raw,296,26,237,260,261,24,0,"24,37,37"
data,0154,datasets\original\data\normal\drill-0154-0.2410_37_37_296-2.raw,datasets\head_24\data\normal\drill-0154-0.2410_37_37_296-2.raw,296,26,236,259,260,24,0,"24,37,37"
data,0155,datasets\original\data\normal\drill-0155-0.2410_37_37_296-26.raw,datasets\head_24\data\normal\drill-0155-0.2410_37_37_296-26.raw,296,25,152,175,176,24,0,"24,37,37"
data,0157,datasets\original\data\normal\drill-0157-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0157-0.2410_37_37_296-5.raw,296,21,234,257,258,24,0,"24,37,37"
data,0158,datasets\original\data\normal\drill-0158-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0158-0.2410_37_37_296-5.raw,296,22,233,256,257,24,0,"24,37,37"
data,0159,datasets\original\data\normal\drill-0159-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0159-0.2410_37_37_296-5.raw,296,21,233,256,257,24,0,"24,37,37"
data,0160,datasets\original\data\normal\drill-0160-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0160-0.2410_37_37_296-5.raw,296,21,233,256,257,24,0,"24,37,37"
data,0161,datasets\original\data\normal\drill-0161-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0161-0.2410_37_37_296-5.raw,296,21,233,256,257,24,0,"24,37,37"
data,0162,datasets\original\data\normal\drill-0162-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0162-0.2410_37_37_296-5.raw,296,21,232,255,256,24,0,"24,37,37"
data,0163,datasets\original\data\normal\drill-0163-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0163-0.2410_37_37_296-5.raw,296,21,232,255,256,24,0,"24,37,37"
data,0164,datasets\original\data\normal\drill-0164-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0164-0.2410_37_37_296-5.raw,296,21,233,256,257,24,0,"24,37,37"
data,0165,datasets\original\data\normal\drill-0165-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0165-0.2410_37_37_296-5.raw,296,21,232,255,256,24,0,"24,37,37"
data,0167,datasets\original\data\normal\drill-0167-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0167-0.2410_37_37_296-5.raw,296,21,233,256,257,24,0,"24,37,37"
data,0168,datasets\original\data\normal\drill-0168-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0168-0.2410_37_37_296-5.raw,296,21,233,256,257,24,0,"24,37,37"
data,0169,datasets\original\data\normal\drill-0169-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0169-0.2410_37_37_296-5.raw,296,21,231,254,255,24,0,"24,37,37"
data,0170,datasets\original\data\normal\drill-0170-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0170-0.2410_37_37_296-5.raw,296,21,232,255,256,24,0,"24,37,37"
data,0171,datasets\original\data\normal\drill-0171-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0171-0.2410_37_37_296-5.raw,296,21,231,254,255,24,0,"24,37,37"
data,0172,datasets\original\data\normal\drill-0172-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0172-0.2410_37_37_296-5.raw,296,21,232,255,256,24,0,"24,37,37"
data,0173,datasets\original\data\normal\drill-0173-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0173-0.2410_37_37_296-5.raw,296,21,231,254,255,24,0,"24,37,37"
data,0174,datasets\original\data\normal\drill-0174-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0174-0.2410_37_37_296-5.raw,296,21,232,255,256,24,0,"24,37,37"
data,0175,datasets\original\data\normal\drill-0175-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0175-0.2410_37_37_296-5.raw,296,21,231,254,255,24,0,"24,37,37"
data,0176,datasets\original\data\normal\drill-0176-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0176-0.2410_37_37_296-5.raw,296,21,232,255,256,24,0,"24,37,37"
data,0177,datasets\original\data\normal\drill-0177-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0177-0.2410_37_37_296-5.raw,296,21,231,254,255,24,0,"24,37,37"
data,0178,datasets\original\data\normal\drill-0178-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0178-0.2410_37_37_296-5.raw,296,21,231,254,255,24,0,"24,37,37"
data,0179,datasets\original\data\normal\drill-0179-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0179-0.2410_37_37_296-5.raw,296,21,231,254,255,24,0,"24,37,37"
data,0180,datasets\original\data\normal\drill-0180-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0180-0.2410_37_37_296-5.raw,296,21,230,253,254,24,0,"24,37,37"
data,0181,datasets\original\data\normal\drill-0181-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0181-0.2410_37_37_296-5.raw,296,21,231,254,255,24,0,"24,37,37"
data,0182,datasets\original\data\normal\drill-0182-0.2410_37_37_296-5.raw,datasets\head_24\data\normal\drill-0182-0.2410_37_37_296-5.raw,296,21,231,254,255,24,0,"24,37,37"
data,0183,datasets\original\data\normal\drill-0183-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0183-0.2410_37_37_296-0.raw,296,27,239,262,263,24,0,"24,37,37"
data,0184,datasets\original\data\normal\drill-0184-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0184-0.2410_37_37_296-0.raw,296,27,238,261,262,24,0,"24,37,37"
data,0185,datasets\original\data\normal\drill-0185-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0185-0.2410_37_37_296-0.raw,296,27,241,264,265,24,0,"24,37,37"
data,0186,datasets\original\data\normal\drill-0186-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0186-0.2410_37_37_296-0.raw,296,27,239,262,263,24,0,"24,37,37"
data,0187,datasets\original\data\normal\drill-0187-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0187-0.2410_37_37_296-0.raw,296,27,239,262,263,24,0,"24,37,37"
data,0188,datasets\original\data\normal\drill-0188-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0188-0.2410_37_37_296-0.raw,296,27,240,263,264,24,0,"24,37,37"
data,0189,datasets\original\data\normal\drill-0189-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0189-0.2410_37_37_296-0.raw,296,27,240,263,264,24,0,"24,37,37"
data,0191,datasets\original\data\normal\drill-0191-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0191-0.2410_37_37_296-0.raw,296,27,235,258,259,24,0,"24,37,37"
data,0192,datasets\original\data\normal\drill-0192-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0192-0.2410_37_37_296-0.raw,296,27,235,258,259,24,0,"24,37,37"
data,0193,datasets\original\data\normal\drill-0193-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0193-0.2410_37_37_296-0.raw,296,27,234,257,258,24,0,"24,37,37"
data,0194,datasets\original\data\normal\drill-0194-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0194-0.2410_37_37_296-0.raw,296,27,235,258,259,24,0,"24,37,37"
data,0195,datasets\original\data\normal\drill-0195-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0195-0.2410_37_37_296-0.raw,296,27,235,258,259,24,0,"24,37,37"
data,0196,datasets\original\data\normal\drill-0196-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0196-0.2410_37_37_296-0.raw,296,27,235,258,259,24,0,"24,37,37"
data,0197,datasets\original\data\normal\drill-0197-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0197-0.2410_37_37_296-0.raw,296,27,233,256,257,24,0,"24,37,37"
data,0198,datasets\original\data\normal\drill-0198-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0198-0.2410_37_37_296-0.raw,296,27,234,257,258,24,0,"24,37,37"
data,0199,datasets\original\data\normal\drill-0199-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0199-0.2410_37_37_296-0.raw,296,27,232,255,256,24,0,"24,37,37"
data,0200,datasets\original\data\normal\drill-0200-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0200-0.2410_37_37_296-0.raw,296,27,233,256,257,24,0,"24,37,37"
data,0201,datasets\original\data\normal\drill-0201-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0201-0.2410_37_37_296-0.raw,296,27,233,256,257,24,0,"24,37,37"
data,0202,datasets\original\data\normal\drill-0202-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0202-0.2410_37_37_296-0.raw,296,27,233,256,257,24,0,"24,37,37"
data,0203,datasets\original\data\normal\drill-0203-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0203-0.2410_37_37_296-0.raw,296,27,234,257,258,24,0,"24,37,37"
data,0204,datasets\original\data\normal\drill-0204-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0204-0.2410_37_37_296-0.raw,296,27,234,257,258,24,0,"24,37,37"
data,0205,datasets\original\data\normal\drill-0205-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0205-0.2410_37_37_296-0.raw,296,27,234,257,258,24,0,"24,37,37"
data,0206,datasets\original\data\normal\drill-0206-0.2410_37_37_296-0.raw,datasets\head_24\data\normal\drill-0206-0.2410_37_37_296-0.raw,296,27,233,256,257,24,0,"24,37,37"
data,0207,datasets\original\data\normal\drill-0207-0.2410_37_37_296-3.raw,datasets\head_24\data\normal\drill-0207-0.2410_37_37_296-3.raw,296,27,238,261,262,24,0,"24,37,37"
